id, artist, album, song, format_song
b8254b3d564f46abad182d0c6862cd7e,Alabama Shakes,Sound & Color,-01 Sound & Color,Sound_&_Color
f6ffd3f1350a4e3487914381d8ad1b5b,Alabama Shakes,Sound & Color,-02 Don't Wanna Fight,Don't_Wanna_Fight
8a61bd3506b342e48471ed42a7355aca,Alabama Shakes,Sound & Color,-03 Dunes,Dunes
b8942488475848ad8272c3bb2de2dbc9,Alabama Shakes,Sound & Color,-04 Future People,Future_People
e03f3b996bba472c9b9af72912270472,Alabama Shakes,Sound & Color,-05 Gimme All Your Love,Gimme_All_Your_Love
40283297868a4dd3a14473655bce18d3,Alabama Shakes,Sound & Color,-06 This Feeling,This_Feeling
fc447ab29877479f8a149d738293266a,Alabama Shakes,Sound & Color,-07 Guess Who,Guess_Who
000478ab5dc54c7780081542465936c6,Alabama Shakes,Sound & Color,-08 The Greatest,The_Greatest
704b1f77caf14928af1550740cd6de92,Alabama Shakes,Sound & Color,-09 Shoegaze,Shoegaze
cfa5dd1c76c645c498b397073aaf040d,Alabama Shakes,Sound & Color,-10 Miss You,Miss_You
70668654eccb47a1bf2d79ce8a2db5d1,Alabama Shakes,Sound & Color,-11 Gemini,Gemini
484efcd313b040dcb7741c5c19f47c67,Alabama Shakes,Sound & Color,-12 Over My Head,Over_My_Head
805293190c9745ff9580476c11f3bf66,Alabama Shakes,Sound & Color,-01 Gimme All Your Love (Live From The Artists Den),Gimme_All_Your_Love_Live_From_The_Artists_Den
67a0e79a4ad14776984632acb9e46cdf,Alabama Shakes,Sound & Color,-02 The Greatest (Live From The Artists Den),The_Greatest_Live_From_The_Artists_Den
8a7dbcd05eef4dc0a85682b39f7dc6ca,Alabama Shakes,Sound & Color,-03 Joe (Live From The Artists Den),Joe_Live_From_The_Artists_Den
7c15b7dbee7042edaba666036e5d7cc3,Assemble Head In Sunburst Sound,When Sweet Sleep Returned,The Slumbering Ones,The_Slumbering_Ones
